Symbol	BREAST_BT549	BREAST_HS578T	BREAST_MCF7	BREAST_MCF7ADR	BREAST_MDAMB231	BREAST_MDAMB435	BREAST_T47D
MARCH1	2.500556698	2.473631909	2.584228443	2.591893766	2.59444872	2.549970137	2.678716497
SEPT2	2.631875445	2.818406274	2.404684813	2.378921053	2.588637639	2.546913251	2.368621672
SEPT7	3.24065268	3.180858986	2.955617894	2.97412533	3.2453619	3.233990259	3.120424403
SEPT9	1.382143045	1.245777497	1.517162843	1.534785515	1.524259573	1.529338434	1.621693454
SEPT11	2.781475656	2.767114018	2.608684775	2.607864869	2.942474695	2.913927072	2.428434198
SEPT12	3.035770988	3.083972316	2.908491945	3.046560086	3.33416442	3.354752232	3.028829931
AARS	3.191688897	3.27617426	3.212833616	3.232760646	2.679009626	2.614205286	3.30800632
AARS2	1.734799751	1.627521154	1.747102631	1.779754511	1.816400342	1.820827236	1.867224781
AASDHPPT	2.933263581	2.808728384	2.639623782	2.616585182	2.941765995	2.971606921	2.947232656
ABCD3	2.160688011	2.597492737	1.68715191	1.680533164	2.481208654	2.492553557	1.964597719
ABCE1	2.734643286	3.062221367	2.838742853	2.840044801	2.960989079	2.945818207	2.643238406
ABCF1	2.838517057	2.885360477	2.743734523	2.63040594	3.006356254	2.970730725	2.653579359
ABCF2	2.674114748	2.875402209	2.610666406	2.607062586	2.608302499	2.595567371	2.149570749
ABCF3	2.128641848	2.401745332	2.300240945	2.296521	2.292144773	2.270328158	2.504306709
ABHD10	2.197600252	2.663337359	2.278774047	2.28327175	2.340737668	2.316531852	2.367775543
ABHD11	1.335945622	1.276141031	1.697373788	1.144335489	1.22906573	1.124389397	1.272737872
ABHD12	2.584958835	2.633754681	2.669799428	2.590511625	2.852066369	2.830284297	2.549147987
ABHD14B	1.91818494	2.115833352	2.080415	2.005334413	2.221498766	2.179288771	2.363400571
ACAA1	2.345483683	2.307546477	2.341229523	2.353491083	2.257636852	2.260647142	2.295560723
ACAD9	2.481088715	2.212817102	2.336889724	2.248588712	2.240655423	2.256257705	2.32661326
ACADM	2.778812007	2.59390968	2.5141898	2.614329263	2.610732467	2.603379999	2.495410794
ACAT1	0.964649422	0.957066104	0.998584759	0.779519394	1.177806929	1.007748104	1.051626307
ACAT2	2.966038623	2.136306409	2.310039958	2.238902606	2.701863679	2.720783578	2.228235615
ACBD3	2.218141964	2.539375387	2.09551442	2.130684236	2.121837372	2.187481496	2.415256041
ACLY	2.536263912	2.467452393	2.509139492	2.448470794	2.606186677	2.585584336	2.535951475
ACO2 	2.782157334	2.773863957	2.804543833	2.837140301	2.645530952	2.62395974	2.698725747
ACOT13	2.675977896	2.884485165	2.353529533	2.306170476	2.425714963	2.439390407	2.384923739
ACOX1	1.835225674	1.8152405	2.020864127	2.035660756	1.974588335	1.958353088	2.497336898
ACP1 	2.497975926	2.598346008	2.775976752	2.777783627	2.628586742	2.612116642	2.502579316
ACP2	2.171925572	2.066695005	2.03747112	2.05583374	2.195602341	2.168940001	2.341508528
ACSL3	2.720003564	2.581973441	2.485689177	2.624912494	2.66541197	2.69079513	2.191612785
ACTG1	3.964087612	3.974723244	3.724275641	3.682047099	4.029231699	4.013342921	3.7859985
ACTL6A	2.733619551	2.661217697	2.673039189	2.776749248	2.771937366	2.809358325	2.953536035
ACTN1	2.90372157	3.112216929	2.307323592	2.159513989	3.074411801	3.062376925	2.38949548
ACTR1A	2.769537323	2.654826288	2.304568231	2.249691942	2.74909751	2.744603874	2.640535748
ACTR2	2.007500613	2.325749222	2.006786753	2.539357824	2.112000648	2.188704726	1.979156568
ACTR3	3.304841331	3.361292487	3.003767076	3.003225986	3.372798687	3.391796339	2.837685073
ACYP1	2.678283832	2.278236757	2.469475444	2.472612039	2.71991912	2.678721712	2.373546787
ADH5 	2.97472001	3.407948798	2.811573239	2.677563221	2.763248697	2.808424475	2.813874966
ADI1 	2.651840609	2.438755958	2.870764721	2.825483454	2.646826584	2.628951791	2.527285237
ADRM1	2.803961656	2.783671256	2.510669031	2.43455048	2.912353661	2.888755088	2.614900947
ADSL	3.008250793	3.107974507	2.879756054	2.800417839	3.006911635	2.983848328	2.771344668
ADSS	2.200947416	2.373496883	2.214932746	2.272589818	2.585891429	2.593712757	2.401316734
AFG3L2	2.996136191	3.075892956	3.239093943	3.331292621	3.039858257	3.033025823	2.880852651
AGK	2.205604406	1.912210562	1.939157142	1.904474978	2.005067638	1.971124255	1.706631852
AGPAT1	2.313335761	2.381067087	2.085050869	2.062766518	2.544138047	2.506983524	2.078162066
AHCY	2.980451793	2.867107816	3.107231846	3.018055187	2.96199768	2.923628607	2.955337189
AHNAK	2.594227195	3.032194906	2.915460008	2.770072616	3.194819158	3.240072179	3.242772737
AIFM1	2.728369116	2.266915564	2.509284749	2.509333749	2.323667033	2.240099253	2.327210679
AIMP1	2.486655943	2.499060361	2.553205698	2.675484725	2.576518078	2.538689808	2.455841555
AIMP2	2.926406246	2.99511636	3.011142851	2.9173169	2.783598157	2.777933341	2.912951959
AIP	2.180130099	2.584982402	2.477702592	2.306164582	2.45028484	2.468106592	2.276613796
AK1	2.349792765	2.360262306	2.26171915	2.295173514	2.680750152	2.653087332	2.558038678
AK2	2.981320329	2.835714282	2.644201904	2.60299182	2.856840736	2.831452781	2.770908992
AK3	1.955140078	1.640941418	1.953704046	2.364885913	1.556914348	1.668765047	1.867604339
AK4	2.092179582	1.875053079	1.79667612	1.927060746	2.409255677	2.425668397	2.064433777
AKR7A2	2.429993593	2.837004494	2.655461405	2.585013026	2.733761937	2.71418505	2.773243464
ALDH1B1	2.445928027	2.431917325	1.753178914	1.711884198	2.289323331	2.280220682	1.775764737
ALDH7A1	3.072653516	2.743383615	2.814388799	2.794218978	2.709975375	2.686391273	2.684939313
ALDH9A1	2.837784618	2.856414197	2.735447123	2.727211747	2.954768764	2.938075672	3.058017097
ALDOA	3.716727129	3.613369294	3.661485224	3.633046156	3.719161853	3.720141165	3.59963923
ALG1	2.07375739	1.817788355	2.073902663	1.98878401	1.945963943	1.95936249	2.114599956
ALG5	2.973420263	2.790140745	2.997848276	3.014177367	2.803192373	2.759649757	2.88855552
ALYREF	2.615987496	2.305942428	2.661206479	2.720208564	2.774867613	2.845758792	2.686369047
ANP32A	2.181773382	2.113191526	2.297062187	2.551983952	2.191544825	2.20622371	2.093563911
ANP32B	3.527451856	3.230723718	3.540128423	3.488125129	3.380084115	3.406275678	3.091132608
ANP32E	2.491457236	2.006832887	2.110070588	2.017907946	2.483400116	2.495510108	2.073604
ANXA4	2.892921197	3.029788784	2.83837928	2.755195441	3.023901446	3.003453803	2.617664317
ANXA5	3.470920489	3.433887044	3.033658755	3.009466203	3.460921195	3.495118932	3.109079335
ANXA7	2.861728417	2.824447775	2.773727016	2.900461416	2.962503131	2.981355277	2.989202873
AP1G1	2.134947424	1.985804983	2.509129575	2.48559196	2.13299105	2.118810664	2.426452779
AP1M1	2.58871636	2.564536421	2.173273119	2.100783946	2.794829453	2.759352645	1.990506409
AP1S2	2.172331702	2.151159307	1.885376954	1.949507767	2.611831567	2.637846822	1.859784541
AP2A1	1.969204247	2.105800174	1.898544268	1.940160085	2.023779431	2.061724909	1.865077532
